body_Date,body_Time,body_FirmName,body_PeriodRange
"Thursday, July 27, 2023",12:46:02 PM,"Herrera Environmental Consultants, Inc.",For the period 7/1/2023 - 7/31/2023

header_GroupColumn,groupHeader1_GroupColumn,groupHeader1_totComp_c_,groupHeader1_amtJTD_b_,groupHeader1_Remaining__Spent,groupHeader1__Spent,groupHeader1_billJTD_c_,groupHeader1_Remaining__Billed,groupHeader1__Billed,groupHeader2_GroupColumn,groupHeader2_totComp_c_,groupHeader2_amtJTD_b_,groupHeader2_Remaining__Spent,groupHeader2__Spent,groupHeader2_billJTD_c_,groupHeader2_Remaining__Billed,groupHeader2__Billed,groupHeader3_GroupColumn,groupHeader3_totComp_c_,groupHeader3_amtJTD_b_,groupHeader3_Remaining__Spent,groupHeader3__Spent,groupHeader3_billJTD_c_,groupHeader3_Remaining__Billed,groupHeader3__Billed,reportFinal__GroupColumn,reportFinal__totComp_c_,reportFinal__amtJTD_b_,reportFinal__Remaining__Spent,reportFinal___Spent,reportFinal__billJTD_c_,reportFinal__Remaining__Billed,reportFinal___Billed
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 001 Project Management,"6,445.00","4,414.95","2,030.05",68.50%,"4,170.37","2,274.63",64.71%,,"6,445.00","4,414.95","2,030.05",68.50%,"4,170.37","2,274.63",64.71%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 002 Monthly Visits,"30,092.00","15,873.46","14,218.54",52.75%,"14,599.84","15,492.16",48.52%,,"30,092.00","15,873.46","14,218.54",52.75%,"14,599.84","15,492.16",48.52%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 003 Flow Measurements,"11,640.00","15,384.81","(3,744.81)",132.17%,"14,976.55","(3,336.55)",128.66%,,"11,640.00","15,384.81","(3,744.81)",132.17%,"14,976.55","(3,336.55)",128.66%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 004 Bedload Measurements,"26,951.00","3,791.19","23,159.81",14.07%,"2,414.63","24,536.37",8.96%,,"26,951.00","3,791.19","23,159.81",14.07%,"2,414.63","24,536.37",8.96%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 005 Suspended Load Measurements,"25,105.00","9,256.03","15,848.97",36.87%,"9,256.03","15,848.97",36.87%,,"25,105.00","9,256.03","15,848.97",36.87%,"9,256.03","15,848.97",36.87%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 006 Annual Survey,"2,661.00",,"2,661.00",,,"2,661.00",,,"2,661.00",,"2,661.00",,,"2,661.00",,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-031 Taylor Creek - 2023,"125,000.00","48,826.49","76,173.51",39.06%,"45,523.47","79,476.53",36.42%,Task : 007 Reporting,"22,106.00",106.05,"21,999.95",.48%,106.05,"21,999.95",.48%,,"22,106.00",106.05,"21,999.95",.48%,106.05,"21,999.95",.48%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-033 2023 Mead Street Sampling,"20,000.00","4,763.11","15,236.89",23.82%,"4,366.49","15,633.51",21.83%,Task : 001 Project Management & Contract Admin,"3,000.00","2,021.86",978.14,67.40%,"1,898.30","1,101.70",63.28%,,"3,000.00","2,021.86",978.14,67.40%,"1,898.30","1,101.70",63.28%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-033 2023 Mead Street Sampling,"20,000.00","4,763.11","15,236.89",23.82%,"4,366.49","15,633.51",21.83%,Task : 002 Mead Street Monthly Sampling,"9,000.00","2,741.25","6,258.75",30.46%,"2,468.19","6,531.81",27.42%,,"9,000.00","2,741.25","6,258.75",30.46%,"2,468.19","6,531.81",27.42%,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
Show Unposted,Project: 17-06530-033 2023 Mead Street Sampling,"20,000.00","4,763.11","15,236.89",23.82%,"4,366.49","15,633.51",21.83%,Task : 003 On-call Support,"8,000.00",,"8,000.00",,,"8,000.00",,,"8,000.00",,"8,000.00",,,"8,000.00",,Final Totals,"1,259,122.00","727,568.59","531,553.41",57.78%,"719,326.10","539,795.90",57.13%
